+------------------------------------------------------------+------+
| Registry name                                              |   ID |
| ancientbeasts:zealot_death                                 |  715 |
| ancientbeasts:zealot_hurt                                  |  714 |
| ancientwarfarenpc:bard.tune1                               |  760 |
| ancientwarfarenpc:bard.tune2                               |  761 |
| ancientwarfarenpc:bard.tune3                               |  762 |
| ancientwarfarenpc:bard.tune4                               |  763 |
| ancientwarfarenpc:bard.tune5                               |  764 |
| ancientwarfarenpc:bard.tune6                               |  765 |
| ancientwarfarenpc:teleport_in                              |  758 |
| ancientwarfarenpc:teleport_out                             |  759 |
| ancientwarfarestructure:auto_load/test_drums               | 2120 |
| ancientwarfarestructure:coffin_opens                       |  756 |
| ancientwarfarestructure:protection_flag_claim              |  755 |
| ancientwarfarestructure:urn_break                          |  757 |
| animania:angrybull1                                        |  606 |
| animania:angrybull2                                        |  607 |
| animania:angrybull3                                        |  608 |
| animania:bullmoo1                                          |  609 |
| animania:bullmoo2                                          |  610 |
| animania:bullmoo3                                          |  611 |
| animania:bullmoo4                                          |  612 |
| animania:bullmoo5                                          |  613 |
| animania:bullmoo6                                          |  614 |
| animania:bullmoo7                                          |  615 |
| animania:bullmoo8                                          |  616 |
| animania:cluck1                                            |  596 |
| animania:cluck2                                            |  597 |
| animania:cluck3                                            |  598 |
| animania:cluck4                                            |  599 |
| animania:cluck5                                            |  600 |
| animania:cluck6                                            |  601 |
| animania:combo                                             |  553 |
| animania:cowdeath1                                         |  617 |
| animania:cowdeath2                                         |  618 |
| animania:coweat1                                           |  619 |
| animania:coweat2                                           |  620 |
| animania:cowhurt1                                          |  623 |
| animania:cowhurt2                                          |  624 |
| animania:crow1                                             |  593 |
| animania:crow2                                             |  594 |
| animania:crow3                                             |  595 |
| animania:dartfrogliving1                                   |  587 |
| animania:dartfrogliving2                                   |  588 |
| animania:dartfrogliving3                                   |  589 |
| animania:dartfrogliving4                                   |  590 |
| animania:death1                                            |  604 |
| animania:death2                                            |  605 |
| animania:ferrethurt1                                       |  561 |
| animania:ferretliving1                                     |  562 |
| animania:ferretliving2                                     |  563 |
| animania:ferretliving3                                     |  564 |
| animania:ferretliving4                                     |  565 |
| animania:ferretliving5                                     |  566 |
| animania:ferretliving6                                     |  567 |
| animania:frogliving1                                       |  580 |
| animania:frogliving2                                       |  581 |
| animania:frogliving3                                       |  582 |
| animania:goathurt1                                         |  691 |
| animania:goathurt2                                         |  692 |
| animania:goatliving1                                       |  686 |
| animania:goatliving2                                       |  687 |
| animania:goatliving3                                       |  688 |
| animania:goatliving4                                       |  689 |
| animania:goatliving5                                       |  690 |
| animania:hamsterdeath                                      |  554 |
| animania:hamstereat1                                       |  555 |
| animania:hamstereat2                                       |  556 |
| animania:hamsterhurt1                                      |  557 |
| animania:hamsterliving1                                    |  558 |
| animania:hamsterliving2                                    |  559 |
| animania:hamsterliving3                                    |  560 |
| animania:hedgehoghurt1                                     |  568 |
| animania:hedgehogliving1                                   |  569 |
| animania:hedgehogliving2                                   |  570 |
| animania:hedgehogliving3                                   |  571 |
| animania:hedgehogliving4                                   |  572 |
| animania:hedgehogliving5                                   |  573 |
| animania:hitch                                             |  698 |
| animania:hog1                                              |  657 |
| animania:hog2                                              |  658 |
| animania:hog3                                              |  659 |
| animania:hog4                                              |  660 |
| animania:hog5                                              |  661 |
| animania:horsehurt1                                        |  636 |
| animania:horsehurt2                                        |  637 |
| animania:horsehurt3                                        |  638 |
| animania:horseliving1                                      |  639 |
| animania:horseliving2                                      |  640 |
| animania:horseliving3                                      |  641 |
| animania:horseliving4                                      |  642 |
| animania:horseliving5                                      |  643 |
| animania:horseliving6                                      |  644 |
| animania:hurt1                                             |  602 |
| animania:hurt2                                             |  603 |
| animania:hurtcalf1                                         |  621 |
| animania:hurtcalf2                                         |  622 |
| animania:kidhurt1                                          |  696 |
| animania:kidhurt2                                          |  697 |
| animania:kidliving1                                        |  693 |
| animania:kidliving2                                        |  694 |
| animania:kidliving3                                        |  695 |
| animania:lambliving1                                       |  684 |
| animania:lambliving2                                       |  685 |
| animania:moo1                                              |  628 |
| animania:moo2                                              |  629 |
| animania:moo3                                              |  630 |
| animania:moo4                                              |  631 |
| animania:moo5                                              |  632 |
| animania:moo6                                              |  633 |
| animania:moo7                                              |  634 |
| animania:moo8                                              |  635 |
| animania:moocalf1                                          |  625 |
| animania:moocalf2                                          |  626 |
| animania:moocalf3                                          |  627 |
| animania:ooooohh                                           |  592 |
| animania:peacock1                                          |  645 |
| animania:peacock10                                         |  654 |
| animania:peacock2                                          |  646 |
| animania:peacock3                                          |  647 |
| animania:peacock4                                          |  648 |
| animania:peacock5                                          |  649 |
| animania:peacock6                                          |  650 |
| animania:peacock7                                          |  651 |
| animania:peacock8                                          |  652 |
| animania:peacock9                                          |  653 |
| animania:peacockhurt1                                      |  655 |
| animania:peacockhurt2                                      |  656 |
| animania:pig1                                              |  662 |
| animania:pig2                                              |  663 |
| animania:pig3                                              |  664 |
| animania:pig4                                              |  665 |
| animania:pig5                                              |  666 |
| animania:pig6                                              |  667 |
| animania:pig7                                              |  668 |
| animania:pighurt1                                          |  669 |
| animania:pighurt2                                          |  670 |
| animania:piglet1                                           |  674 |
| animania:piglet2                                           |  675 |
| animania:piglet3                                           |  676 |
| animania:piglethurt1                                       |  671 |
| animania:piglethurt2                                       |  672 |
| animania:piglethurt3                                       |  673 |
| animania:rabbit1                                           |  576 |
| animania:rabbit2                                           |  577 |
| animania:rabbit3                                           |  578 |
| animania:rabbit4                                           |  579 |
| animania:rabbithurt1                                       |  574 |
| animania:rabbithurt2                                       |  575 |
| animania:reeee                                             |  591 |
| animania:sheephurt1                                        |  677 |
| animania:sheepliving1                                      |  678 |
| animania:sheepliving2                                      |  679 |
| animania:sheepliving3                                      |  680 |
| animania:sheepliving4                                      |  681 |
| animania:sheepliving5                                      |  682 |
| animania:sheepliving6                                      |  683 |
| animania:toadliving1                                       |  583 |
| animania:toadliving2                                       |  584 |
| animania:toadliving3                                       |  585 |
| animania:toadliving4                                       |  586 |
| animania:unhitch                                           |  699 |
| animania:zap                                               |  552 |
| arcanearchives:brazier.absorb                              |  904 |
| arcanearchives:resonator.complete                          |  902 |
| arcanearchives:resonator.loop                              |  903 |
| artifacts:fart                                             |  905 |
| artifacts:mimic.close                                      |  906 |
| artifacts:mimic.death                                      |  909 |
| artifacts:mimic.hurt                                       |  908 |
| artifacts:mimic.open                                       |  907 |
| astralsorcery:attunement                                   | 2087 |
| astralsorcery:bookclose                                    | 2089 |
| astralsorcery:bookflip                                     | 2090 |
| astralsorcery:clipswitch                                   | 2086 |
| astralsorcery:craftfinish                                  | 2088 |
| bard_mania:banjo                                           |  939 |
| bard_mania:flute                                           |  942 |
| bard_mania:lyre                                            |  940 |
| bard_mania:marching_drums                                  |  938 |
| bard_mania:recorder                                        |  937 |
| bard_mania:xylophone                                       |  941 |
| beneath:beneath.drawnout                                   | 2112 |
| beneath:beneath.muffled                                    | 2111 |
| beneath:beneath.normal                                     | 2110 |
| beneath:dark1                                              | 2114 |
| beneath:dark2                                              | 2115 |
| beneath:deepdank                                           | 2113 |
| beneath:scream                                             | 2116 |
| better_diving:ambient.underwater.enter                     |  949 |
| better_diving:ambient.underwater.exit                      |  950 |
| better_diving:ambient.underwater.loop                      |  951 |
| better_diving:ambient.underwater.loop.additions            |  952 |
| better_diving:ambient.underwater.loop.additions.rare       |  953 |
| better_diving:ambient.underwater.loop.additions.ultra_rare |  954 |
| better_diving:seamoth_engine_loop                          |  945 |
| better_diving:seamoth_enter                                |  946 |
| better_diving:seamoth_exit                                 |  947 |
| better_diving:seamoth_impact                               |  948 |
| betteranimalsplus:crabrave                                 | 2024 |
| betteranimalsplus:entity_goose_ambient                     | 2028 |
| betteranimalsplus:entity_goose_death                       | 2027 |
| betteranimalsplus:entity_goose_hurt                        | 2025 |
| betteranimalsplus:record_walrus                            | 2026 |
| bettercombatmod:player.criticalstrike                      |  944 |
| bettercombatmod:player.swordslash                          |  943 |
| betternether:bn_fly                                        |  700 |
| betterwithmods:ambient.gloom                               |  900 |
| betterwithmods:ambient.spook                               |  901 |
| betterwithmods:block.mechanical.overpower                  |  898 |
| betterwithmods:block.metal.chime                           |  894 |
| betterwithmods:block.metal.hacksaw                         |  895 |
| betterwithmods:block.millstone.netherrack                  |  896 |
| betterwithmods:block.saw.cut                               |  897 |
| betterwithmods:block.stone.grind                           |  891 |
| betterwithmods:block.wood.bellow                           |  892 |
| betterwithmods:block.wood.chime                            |  893 |
| betterwithmods:block.wood.creak                            |  890 |
| betterwithmods:entity.player.oof                           |  899 |
| biomesoplenty:entity.biomesoplenty.wasp.ambient            |  549 |
| biomesoplenty:entity.biomesoplenty.wasp.hurt               |  550 |
| biomesoplenty:records.wanderer                             |  551 |
| callablehorses:whistle                                     |  701 |
| charm:above_stronghold                                     | 2103 |
| charm:bookshelf_close                                      | 2095 |
| charm:bookshelf_open                                       | 2094 |
| charm:ender_resonance                                      | 2104 |
| charm:homing                                               | 2101 |
| charm:little_fire                                          | 2096 |
| charm:spectre_ambient                                      | 2097 |
| charm:spectre_disappear                                    | 2098 |
| charm:spectre_hit                                          | 2099 |
| charm:spectre_move                                         | 2100 |
| charm:whispers                                             | 2102 |
| charm:wood_close                                           | 2092 |
| charm:wood_open                                            | 2091 |
| charm:wood_smash                                           | 2093 |
| charset:block.crank                                        | 2085 |
| cookingforblockheads:fridge_close                          |  956 |
| cookingforblockheads:fridge_open                           |  955 |
| cookingforblockheads:oven_close                            |  958 |
| cookingforblockheads:oven_open                             |  957 |
| cookingforblockheads:toaster_start                         |  959 |
| cookingforblockheads:toaster_stop                          |  960 |
| doggytalents:whistle_long                                  |  962 |
| doggytalents:whistle_short                                 |  961 |
| ebwizardry:block.arcane_workbench.bind_spell               |  963 |
| ebwizardry:block.pedestal.activate                         |  964 |
| ebwizardry:block.pedestal.conquer                          |  965 |
| ebwizardry:entity.black_hole.ambient                       |  971 |
| ebwizardry:entity.black_hole.vanish                        |  972 |
| ebwizardry:entity.blizzard.ambient                         |  974 |
| ebwizardry:entity.bubble.pop                               |  973 |
| ebwizardry:entity.darkness_orb.hit                         | 1023 |
| ebwizardry:entity.dart.hit                                 | 1024 |
| ebwizardry:entity.dart.hit_block                           | 1025 |
| ebwizardry:entity.decay.ambient                            |  975 |
| ebwizardry:entity.entrapment.ambient                       |  976 |
| ebwizardry:entity.entrapment.vanish                        |  977 |
| ebwizardry:entity.evil_wizard.ambient                      |  992 |
| ebwizardry:entity.evil_wizard.death                        |  994 |
| ebwizardry:entity.evil_wizard.hurt                         |  993 |
| ebwizardry:entity.fire_ring.ambient                        |  978 |
| ebwizardry:entity.fire_sigil.trigger                       |  979 |
| ebwizardry:entity.firebolt.hit                             | 1026 |
| ebwizardry:entity.firebomb.fire                            | 1029 |
| ebwizardry:entity.firebomb.smash                           | 1028 |
| ebwizardry:entity.firebomb.throw                           | 1027 |
| ebwizardry:entity.force_arrow.hit                          | 1030 |
| ebwizardry:entity.force_orb.hit                            | 1031 |
| ebwizardry:entity.force_orb.hit_block                      | 1032 |
| ebwizardry:entity.forcefield.deflect                       |  980 |
| ebwizardry:entity.frost_sigil.trigger                      |  981 |
| ebwizardry:entity.hammer.attack                            |  982 |
| ebwizardry:entity.hammer.explode                           |  983 |
| ebwizardry:entity.hammer.land                              |  985 |
| ebwizardry:entity.hammer.throw                             |  984 |
| ebwizardry:entity.heal_aura.ambient                        |  986 |
| ebwizardry:entity.homing_spark.hit                         | 1049 |
| ebwizardry:entity.ice_charge.ice                           | 1035 |
| ebwizardry:entity.ice_charge.smash                         | 1034 |
| ebwizardry:entity.ice_giant.attack                         |  995 |
| ebwizardry:entity.ice_giant.despawn                        |  996 |
| ebwizardry:entity.ice_lance.hit                            | 1037 |
| ebwizardry:entity.ice_lance.smash                          | 1036 |
| ebwizardry:entity.ice_shard.hit                            | 1039 |
| ebwizardry:entity.ice_shard.smash                          | 1038 |
| ebwizardry:entity.ice_spike.extend                         |  987 |
| ebwizardry:entity.ice_wraith.ambient                       |  997 |
| ebwizardry:entity.iceball.hit                              | 1033 |
| ebwizardry:entity.lightning_arrow.hit                      | 1040 |
| ebwizardry:entity.lightning_disc.hit                       | 1041 |
| ebwizardry:entity.lightning_sigil.trigger                  |  988 |
| ebwizardry:entity.magic_missile.hit                        | 1042 |
| ebwizardry:entity.magic_slime.attack                       |  998 |
| ebwizardry:entity.magic_slime.explode                      |  999 |
| ebwizardry:entity.magic_slime.splat                        | 1000 |
| ebwizardry:entity.meteor.falling                           |  989 |
| ebwizardry:entity.phoenix.ambient                          | 1001 |
| ebwizardry:entity.phoenix.burn                             | 1002 |
| ebwizardry:entity.phoenix.death                            | 1005 |
| ebwizardry:entity.phoenix.flap                             | 1003 |
| ebwizardry:entity.phoenix.hurt                             | 1004 |
| ebwizardry:entity.poison_bomb.poison                       | 1045 |
| ebwizardry:entity.poison_bomb.smash                        | 1044 |
| ebwizardry:entity.poison_bomb.throw                        | 1043 |
| ebwizardry:entity.shadow_wraith.ambient                    | 1006 |
| ebwizardry:entity.shadow_wraith.death                      | 1009 |
| ebwizardry:entity.shadow_wraith.hurt                       | 1008 |
| ebwizardry:entity.shadow_wraith.noise                      | 1007 |
| ebwizardry:entity.shield.deflect                           |  990 |
| ebwizardry:entity.smoke_bomb.smash                         | 1047 |
| ebwizardry:entity.smoke_bomb.smoke                         | 1048 |
| ebwizardry:entity.smoke_bomb.throw                         | 1046 |
| ebwizardry:entity.spark_bomb.chain                         | 1053 |
| ebwizardry:entity.spark_bomb.hit                           | 1051 |
| ebwizardry:entity.spark_bomb.hit_block                     | 1052 |
| ebwizardry:entity.spark_bomb.throw                         | 1050 |
| ebwizardry:entity.spirit_horse.vanish                      | 1010 |
| ebwizardry:entity.spirit_wolf.vanish                       | 1011 |
| ebwizardry:entity.storm_elemental.ambient                  | 1012 |
| ebwizardry:entity.storm_elemental.burn                     | 1013 |
| ebwizardry:entity.storm_elemental.death                    | 1016 |
| ebwizardry:entity.storm_elemental.hurt                     | 1015 |
| ebwizardry:entity.storm_elemental.wind                     | 1014 |
| ebwizardry:entity.thunderbolt.hit                          | 1054 |
| ebwizardry:entity.tornado.ambient                          |  991 |
| ebwizardry:entity.wizard.ambient                           | 1019 |
| ebwizardry:entity.wizard.death                             | 1022 |
| ebwizardry:entity.wizard.hurt                              | 1021 |
| ebwizardry:entity.wizard.no                                | 1018 |
| ebwizardry:entity.wizard.trading                           | 1020 |
| ebwizardry:entity.wizard.yes                               | 1017 |
| ebwizardry:forfeit.arrow_rain                              | 1269 |
| ebwizardry:forfeit.black_hole                              | 1268 |
| ebwizardry:forfeit.blazes                                  | 1300 |
| ebwizardry:forfeit.blind_self                              | 1276 |
| ebwizardry:forfeit.blizzard                                | 1280 |
| ebwizardry:forfeit.burn_self                               | 1301 |
| ebwizardry:forfeit.burn_surroundings                       | 1296 |
| ebwizardry:forfeit.bury_self                               | 1288 |
| ebwizardry:forfeit.cripple_self                            | 1305 |
| ebwizardry:forfeit.curse_self                              | 1279 |
| ebwizardry:forfeit.damage_self                             | 1285 |
| ebwizardry:forfeit.explode                                 | 1299 |
| ebwizardry:forfeit.fireball                                | 1303 |
| ebwizardry:forfeit.firebomb                                | 1304 |
| ebwizardry:forfeit.flood                                   | 1291 |
| ebwizardry:forfeit.freeze_self                             | 1284 |
| ebwizardry:forfeit.freeze_self_2                           | 1273 |
| ebwizardry:forfeit.hailstorm                               | 1277 |
| ebwizardry:forfeit.hunger                                  | 1275 |
| ebwizardry:forfeit.ice_giant                               | 1278 |
| ebwizardry:forfeit.ice_spikes                              | 1274 |
| ebwizardry:forfeit.ice_wraiths                             | 1281 |
| ebwizardry:forfeit.jam_self                                | 1283 |
| ebwizardry:forfeit.levitate_self                           | 1270 |
| ebwizardry:forfeit.lightning                               | 1292 |
| ebwizardry:forfeit.lightning_sigils                        | 1308 |
| ebwizardry:forfeit.lightning_wraiths                       | 1294 |
| ebwizardry:forfeit.meteors                                 | 1297 |
| ebwizardry:forfeit.nausea                                  | 1310 |
| ebwizardry:forfeit.paralyse_self                           | 1293 |
| ebwizardry:forfeit.poison_self                             | 1312 |
| ebwizardry:forfeit.shadow_wraiths                          | 1306 |
| ebwizardry:forfeit.snares                                  | 1289 |
| ebwizardry:forfeit.spill_armour                            | 1286 |
| ebwizardry:forfeit.spill_inventory                         | 1272 |
| ebwizardry:forfeit.squid                                   | 1290 |
| ebwizardry:forfeit.storm                                   | 1307 |
| ebwizardry:forfeit.storm_elementals                        | 1302 |
| ebwizardry:forfeit.teleport_self                           | 1287 |
| ebwizardry:forfeit.thunder                                 | 1298 |
| ebwizardry:forfeit.uproot_plants                           | 1311 |
| ebwizardry:forfeit.vex_horde                               | 1271 |
| ebwizardry:forfeit.weaken_self                             | 1282 |
| ebwizardry:forfeit.wither_self                             | 1309 |
| ebwizardry:forfeit.zombie_horde                            | 1295 |
| ebwizardry:item.armour.equip_silk                          |  969 |
| ebwizardry:item.purifying_elixir.drink                     |  970 |
| ebwizardry:item.wand.levelup                               |  967 |
| ebwizardry:item.wand.melee                                 |  968 |
| ebwizardry:item.wand.switch_spell                          |  966 |
| ebwizardry:misc.book_open                                  | 1059 |
| ebwizardry:misc.discover_spell                             | 1058 |
| ebwizardry:misc.freeze                                     | 1061 |
| ebwizardry:misc.page_turn                                  | 1060 |
| ebwizardry:spell.agility                                   | 1111 |
| ebwizardry:spell.arc                                       | 1067 |
| ebwizardry:spell.arcane_jammer                             | 1216 |
| ebwizardry:spell.arcane_lock                               | 1251 |
| ebwizardry:spell.arrow_rain                                | 1190 |
| ebwizardry:spell.banish                                    | 1198 |
| ebwizardry:spell.black_hole                                | 1187 |
| ebwizardry:spell.blink                                     | 1110 |
| ebwizardry:spell.blizzard                                  | 1128 |
| ebwizardry:spell.bubble.shoot                              | 1105 |
| ebwizardry:spell.bubble.splash                             | 1106 |
| ebwizardry:spell.chain_lightning                           | 1134 |
| ebwizardry:spell.charge                                    | 1232 |
| ebwizardry:spell.clairvoyance                              | 1201 |
| ebwizardry:spell.cobwebs                                   | 1214 |
| ebwizardry:spell.combustion_rune                           | 1241 |
| ebwizardry:spell.conjure_armour                            | 1217 |
| ebwizardry:spell.conjure_block                             | 1227 |
| ebwizardry:spell.conjure_bow                               | 1114 |
| ebwizardry:spell.conjure_pickaxe                           | 1113 |
| ebwizardry:spell.conjure_sword                             | 1112 |
| ebwizardry:spell.containment                               | 1252 |
| ebwizardry:spell.cure_effects                              | 1120 |
| ebwizardry:spell.curse_of_enfeeblement                     | 1261 |
| ebwizardry:spell.curse_of_soulbinding                      | 1213 |
| ebwizardry:spell.curse_of_soulbinding.retaliate            | 1056 |
| ebwizardry:spell.curse_of_undeath                          | 1245 |
| ebwizardry:spell.darkness_orb                              | 1143 |
| ebwizardry:spell.darkvision                                | 1200 |
| ebwizardry:spell.dart                                      | 1071 |
| ebwizardry:spell.decay                                     | 1147 |
| ebwizardry:spell.decoy                                     | 1215 |
| ebwizardry:spell.detonate                                  | 1124 |
| ebwizardry:spell.diamondflesh                              | 1191 |
| ebwizardry:spell.disintegration                            | 1240 |
| ebwizardry:spell.divination                                | 1238 |
| ebwizardry:spell.dragon_fireball                           | 1246 |
| ebwizardry:spell.earthquake                                | 1224 |
| ebwizardry:spell.empowering_presence                       | 1239 |
| ebwizardry:spell.entrapment                                | 1141 |
| ebwizardry:spell.evade                                     | 1230 |
| ebwizardry:spell.fire_breath.end                           | 1172 |
| ebwizardry:spell.fire_breath.loop                          | 1171 |
| ebwizardry:spell.fire_breath.start                         | 1170 |
| ebwizardry:spell.fire_resistance                           | 1125 |
| ebwizardry:spell.fire_sigil                                | 1080 |
| ebwizardry:spell.fireball                                  | 1075 |
| ebwizardry:spell.firebolt                                  | 1081 |
| ebwizardry:spell.firebomb                                  | 1079 |
| ebwizardry:spell.fireskin                                  | 1126 |
| ebwizardry:spell.flame_ray.end                             | 1078 |
| ebwizardry:spell.flame_ray.loop                            | 1077 |
| ebwizardry:spell.flame_ray.start                           | 1076 |
| ebwizardry:spell.flaming_axe                               | 1127 |
| ebwizardry:spell.flaming_weapon                            | 1207 |
| ebwizardry:spell.flight                                    | 1185 |
| ebwizardry:spell.font_of_mana                              | 1225 |
| ebwizardry:spell.font_of_vitality                          | 1192 |
| ebwizardry:spell.force_arrow                               | 1115 |
| ebwizardry:spell.force_orb                                 | 1159 |
| ebwizardry:spell.forcefield                                | 1166 |
| ebwizardry:spell.forest_of_thorns                          | 1262 |
| ebwizardry:spell.forests_curse                             | 1184 |
| ebwizardry:spell.freeze                                    | 1065 |
| ebwizardry:spell.freezing_weapon                           | 1209 |
| ebwizardry:spell.frost_axe                                 | 1132 |
| ebwizardry:spell.frost_ray.end                             | 1084 |
| ebwizardry:spell.frost_ray.loop                            | 1083 |
| ebwizardry:spell.frost_ray.start                           | 1082 |
| ebwizardry:spell.frost_sigil                               | 1089 |
| ebwizardry:spell.frost_step                                | 1242 |
| ebwizardry:spell.glide                                     | 1150 |
| ebwizardry:spell.grapple.attach                            | 1235 |
| ebwizardry:spell.grapple.pull                              | 1236 |
| ebwizardry:spell.grapple.release                           | 1237 |
| ebwizardry:spell.grapple.shoot                             | 1234 |
| ebwizardry:spell.greater_fireball                          | 1206 |
| ebwizardry:spell.greater_heal                              | 1164 |
| ebwizardry:spell.greater_telekinesis.end                   | 1249 |
| ebwizardry:spell.greater_telekinesis.loop                  | 1248 |
| ebwizardry:spell.greater_telekinesis.start                 | 1247 |
| ebwizardry:spell.greater_ward                              | 1254 |
| ebwizardry:spell.group_heal                                | 1218 |
| ebwizardry:spell.growth_aura                               | 1104 |
| ebwizardry:spell.hailstorm                                 | 1219 |
| ebwizardry:spell.heal                                      | 1074 |
| ebwizardry:spell.heal_ally                                 | 1121 |
| ebwizardry:spell.healing_aura                              | 1165 |
| ebwizardry:spell.homing_spark                              | 1094 |
| ebwizardry:spell.ice_age                                   | 1174 |
| ebwizardry:spell.ice_charge                                | 1131 |
| ebwizardry:spell.ice_lance                                 | 1208 |
| ebwizardry:spell.ice_shard                                 | 1086 |
| ebwizardry:spell.ice_shroud                                | 1130 |
| ebwizardry:spell.ice_spikes                                | 1210 |
| ebwizardry:spell.ice_statue.freeze                         | 1088 |
| ebwizardry:spell.ice_statue.shoot                          | 1087 |
| ebwizardry:spell.iceball                                   | 1231 |
| ebwizardry:spell.ignite                                    | 1064 |
| ebwizardry:spell.imbue_weapon                              | 1203 |
| ebwizardry:spell.intimidate                                | 1197 |
| ebwizardry:spell.invigorating_presence                     | 1204 |
| ebwizardry:spell.invisibility                              | 1155 |
| ebwizardry:spell.invoke_weather                            | 1133 |
| ebwizardry:spell.ironflesh                                 | 1167 |
| ebwizardry:spell.leap                                      | 1195 |
| ebwizardry:spell.levitation.end                            | 1158 |
| ebwizardry:spell.levitation.loop                           | 1157 |
| ebwizardry:spell.levitation.start                          | 1156 |
| ebwizardry:spell.life_drain.end                            | 1099 |
| ebwizardry:spell.life_drain.loop                           | 1098 |
| ebwizardry:spell.life_drain.start                          | 1097 |
| ebwizardry:spell.light                                     | 1072 |
| ebwizardry:spell.lightning_arrow                           | 1096 |
| ebwizardry:spell.lightning_bolt                            | 1135 |
| ebwizardry:spell.lightning_disc                            | 1138 |
| ebwizardry:spell.lightning_hammer                          | 1180 |
| ebwizardry:spell.lightning_pulse.explosion                 | 1212 |
| ebwizardry:spell.lightning_pulse.spark                     | 1211 |
| ebwizardry:spell.lightning_ray.end                         | 1092 |
| ebwizardry:spell.lightning_ray.loop                        | 1091 |
