+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+--------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                   | Valid for           |
|  51 | biomesoplenty:coniferous_forest            | Coniferous Forest       |  0.45 | MEDIUM   | 0.50 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                        | stronghold, village |
|  52 | biomesoplenty:crag                         | Crag                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND         | stronghold          |
|  53 | biomesoplenty:dead_forest                  | Dead Forest             |  0.30 | MEDIUM   | 0.30 | false | false   |            | COLD, DEAD, DRY, FOREST, SPARSE                        | stronghold          |
|  54 | biomesoplenty:dead_swamp                   | Dead Swamp              |  0.60 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET                 |                     |
|  55 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest       |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, WET                       |                     |
|  56 | biomesoplenty:fen                          | Fen                     |  0.40 | MEDIUM   | 0.40 | false | false   |            | COLD, DEAD, DENSE, FOREST, SWAMP, WET                  |                     |
|  57 | biomesoplenty:flower_field                 | Flower Field            |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, PLAINS                                           |                     |
|  58 | biomesoplenty:grassland                    | Grassland               |  0.60 | MEDIUM   | 0.70 | false | false   |            | HILLS, PLAINS, WET                                     | village             |
|  59 | biomesoplenty:grove                        | Grove                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | FOREST, LUSH, PLAINS, SPARSE, WET                      | stronghold, village |
|  60 | biomesoplenty:highland                     | Highland                |  0.60 | MEDIUM   | 0.80 | false | false   |            | HILLS, MOUNTAIN, WET                                   | stronghold          |
|  61 | biomesoplenty:land_of_lakes                | Land of Lakes           |  0.50 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WET                              |                     |
|  62 | biomesoplenty:lavender_fields              | Lavender Fields         |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, MAGICAL, PLAINS                                  |                     |
|  63 | biomesoplenty:lush_desert                  | Lush Desert             |  1.20 | WARM     | 0.40 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                 | village             |
|  64 | biomesoplenty:lush_swamp                   | Lush Swamp              |  0.70 | MEDIUM   | 1.00 | false | false   |            | DENSE, LUSH, SWAMP, WET                                |                     |
|  65 | biomesoplenty:mangrove                     | Mangrove                |  0.85 | MEDIUM   | 0.30 | false | false   |            | DENSE, LUSH, SWAMP, WATER, WET                         |                     |
|  66 | biomesoplenty:maple_woods                  | Maple Woods             |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                        | stronghold          |
|  67 | biomesoplenty:marsh                        | Marsh                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | LUSH, WET                                              |                     |
|  68 | biomesoplenty:meadow                       | Meadow                  |  0.40 | MEDIUM   | 0.70 | false | false   |            | COLD, FOREST, LUSH, PLAINS, SPARSE, WET                | village             |
|  69 | biomesoplenty:moor                         | Moor                    |  0.60 | MEDIUM   | 1.00 | false | false   |            | HILLS, SWAMP, WET                                      | stronghold          |
|  70 | biomesoplenty:mountain                     | Mountain                |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, MOUNTAIN, SPARSE                          | stronghold          |
|  71 | biomesoplenty:mystic_grove                 | Mystic Grove            |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, RARE, WET                |                     |
|  72 | biomesoplenty:ominous_woods                | Ominous Woods           |  0.60 | MEDIUM   | 0.60 | false | false   |            | DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET        | stronghold          |
|  73 | biomesoplenty:orchard                      | Orchard                 |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, PLAINS                            | village             |
|  74 | biomesoplenty:outback                      | Outback                 |  2.00 | WARM     | 0.05 | false | false   |            | DRY, HOT, SANDY, SAVANNA, SPARSE                       | stronghold, village |
|  75 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs        |  0.95 | MEDIUM   | 0.75 | false | false   |            | DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET              | stronghold          |
|  76 | biomesoplenty:prairie                      | Prairie                 |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                    | village             |
|  77 | biomesoplenty:quagmire                     | Quagmire                |  0.60 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                            |                     |
|  78 | biomesoplenty:rainforest                   | Rainforest              |  0.95 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, HILLS, JUNGLE, LUSH, WET                | stronghold          |
|  79 | biomesoplenty:redwood_forest               | RedwoodForest           |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                          | stronghold          |
|  80 | biomesoplenty:seasonal_forest              | Seasonal Forest         |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST                                    | stronghold, village |
|  81 | biomesoplenty:shield                       | Shield                  |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST, WET                               |                     |
|  82 | biomesoplenty:shrubland                    | Shrubland               |  0.60 | MEDIUM   | 0.05 | false | false   |            | DRY, PLAINS, SPARSE                                    | stronghold, village |
|  83 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, CONIFEROUS, DENSE, FOREST, SNOWY                 | stronghold          |
|  84 | biomesoplenty:snowy_forest                 | Snowy Forest            | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, FOREST, SNOWY, SPARSE, WET                       | stronghold          |
|  85 | biomesoplenty:steppe                       | Steppe                  |  0.75 | MEDIUM   | 0.10 | false | false   |            | DRY, PLAINS, SANDY                                     | stronghold, village |
|  86 | biomesoplenty:temperate_rainforest         | Temperate Rainforest    |  0.75 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, LUSH, WET                               | stronghold          |
|  87 | biomesoplenty:tropical_rainforest          | Tropical Rainforest     |  1.00 | WARM     | 1.00 | false | false   |            | DENSE, HOT, JUNGLE, LUSH, WET                          | stronghold          |
|  88 | biomesoplenty:tundra                       | Tundra                  |  0.20 | MEDIUM   | 0.50 | false | false   |            | COLD, DEAD, SPARSE, WASTELAND, WET                     |                     |
|  89 | biomesoplenty:wasteland                    | Wasteland               |  2.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, SPARSE, WASTELAND                           | stronghold          |
|  90 | biomesoplenty:wetland                      | Wetland                 |  0.60 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, SWAMP, WET                        |                     |
|  91 | biomesoplenty:woodland                     | Woodland                |  0.70 | MEDIUM   | 0.50 | false | false   |            | DENSE, DRY, FOREST                                     | village             |
|  92 | biomesoplenty:xeric_shrubland              | Xeric Shrubland         |  1.75 | WARM     | 0.10 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                 | village             |
|  93 | biomesoplenty:alps_foothills               | AlpsFoothills           | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE             | stronghold          |
|  94 | biomesoplenty:mountain_foothills           | MountainFoothills       |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, HILLS, MOUNTAIN, SPARSE                   | stronghold          |
|  95 | biomesoplenty:redwood_forest_edge          | RedwoodForestEdge       |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                          | stronghold          |
|  96 | biomesoplenty:pasture                      | Pasture                 |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                    |                     |
|  97 | biomesoplenty:glacier                      | Glacier                 | -0.50 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                                 | stronghold          |
|  98 | biomesoplenty:oasis                        | Oasis                   |  2.00 | WARM     | 0.50 | false | false   |            | HOT, JUNGLE, LUSH, SANDY, SPARSE, WET                  |                     |
|  99 | biomesoplenty:snowy_tundra                 | SnowyTundra             |  0.00 | COLD     | 0.50 | false | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET              |                     |
| 100 | biomesoplenty:coral_reef                   | Coral Reef              |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                           |                     |
| 101 | biomesoplenty:kelp_forest                  | Kelp Forest             |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                           |                     |
| 102 | biomesoplenty:tropical_island              | Tropical Island         |  0.95 | MEDIUM   | 1.00 | false | false   |            | DENSE, JUNGLE, LUSH, WATER, WET                        |                     |
| 103 | biomesoplenty:volcanic_island              | Volcanic Island         |  1.20 | WARM     | 0.20 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER             | stronghold          |
| 104 | biomesoplenty:flower_island                | Flower Island           |  0.80 | MEDIUM   | 0.80 | false | false   |            | DENSE, LUSH, MAGICAL, PLAINS, WATER                    | stronghold          |
| 105 | biomesoplenty:corrupted_sands              | Corrupted Sands         |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, DRY, HOT, NETHER, SANDY                         | stronghold          |
| 106 | biomesoplenty:fungi_forest                 | Fungi Forest            |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, HOT, MUSHROOM, NETHER                           | stronghold          |
| 107 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND           | stronghold          |
| 108 | biomesoplenty:undergarden                  | Undergarden             |  2.00 | WARM     | 0.00 | false | false   |            | HOT, LUSH, NETHER                                      | stronghold          |
| 109 | biomesoplenty:visceral_heap                | Visceral Heap           |  2.00 | WARM     | 0.00 | false | false   |            | HOT, NETHER, WET                                       | stronghold          |
| 110 | thaumcraft:magical_forest                  | Magical Forest          |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                        | stronghold          |
| 111 | thaumcraft:eerie                           | Eerie                   |  0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                        | stronghold          |
| 112 | thaumcraft:eldritch                        | Outer Lands             |  0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                                   | stronghold          |
| 113 | twilightforest:twilight_lake               | Twilight Lake           |  0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                                 |                     |
| 114 | twilightforest:twilight_forest             | Twilight Forest         |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, TWILIGHT                                       | stronghold          |
| 115 | twilightforest:dense_twilight_forest       | Dense Twilight Forest   |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                                | stronghold          |
| 116 | twilightforest:twilight_highlands          | Twilight Highlands      |  0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT                 | stronghold          |
| 117 | twilightforest:mushroom_forest             | Mushroom Forest         |  0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                             | stronghold          |
| 118 | twilightforest:twilight_swamp              | Twilight Swamp          |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, TWILIGHT, WET                                   |                     |
| 119 | twilightforest:twilight_stream             | Twilight Stream         |  0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, TWILIGHT, WATER                                 |                     |
| 120 | twilightforest:snowy_forest                | Snowy Forest            |  0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT              | stronghold          |
| 121 | twilightforest:twilight_glacier            | Twilight Glacier        |  0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                       | stronghold          |
| 122 | twilightforest:twilight_clearing           | Twilight Clearing       |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                               | stronghold          |
| 123 | twilightforest:oak_savannah                | Oak Savanna             |  0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                               | stronghold          |
| 124 | twilightforest:firefly_forest              | Firefly Forest          |  0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                                 | stronghold          |
| 125 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest    |  0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                             | stronghold          |
| 126 | twilightforest:dark_forest                 | Dark Forest             |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                        | stronghold          |
| 127 | minecraft:void                             | The Void                |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                   | stronghold          |
| 128 | twilightforest:enchanted_forest            | Enchanted Forest        |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                              | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                           | stronghold          |
| 130 | minecraft:mutated_desert                   | Desert M                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                  | stronghold          |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                 | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest           |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                    | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                 |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE               | stronghold          |
| 134 | minecraft:mutated_swampland                | Swampland M             |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                |                     |
| 135 | twilightforest:fire_swamp                  | Fire Swamp              |  1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                        | stronghold          |
| 136 | twilightforest:dark_forest_center          | Dark Forest Center      |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT               | stronghold          |
| 137 | twilightforest:highlands_center            | Final Plateau           |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                   | stronghold          |
| 138 | twilightforest:thornlands                  | Thornlands              |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                  | stronghold          |
| 139 | twilightforest:spooky_forest               | Spooky Forest           |  0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                  | stronghold          |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                               | stronghold          |
| 141 | traverse:autumnal_woods                    | Autumnal Woods          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                                 | stronghold          |
| 142 | traverse:woodlands                         | Woodlands               |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                 | stronghold, village |
| 143 | traverse:mini_jungle                       | Mini Jungle             |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                |                     |
| 144 | traverse:meadow                            | Meadow                  |  0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                      | stronghold, village |
| 145 | traverse:green_swamp                       | Lush Swamp              |  0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                       |                     |
| 146 | traverse:red_desert                        | Red Desert              |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                        | stronghold, village |
| 147 | traverse:temperate_rainforest              | Temperate Rainforest    |  0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                     | stronghold          |
| 148 | traverse:badlands                          | Badlands                |  0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                               | stronghold, village |
| 149 | minecraft:mutated_jungle                   | Jungle M                |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                | stronghold          |
| 150 | traverse:mountainous_desert                | Mountainous Desert      |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                              | stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                       | stronghold          |
| 152 | traverse:rocky_plateau                     | Rocky Plateau           |  0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                          | stronghold, village |
| 153 | traverse:forested_hills                    | Forested Hills          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                          | stronghold          |
| 154 | traverse:birch_forested_hills              | Birch Forested Hills    |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                          | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                             | stronghold          |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M    |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                          | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M         |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                  | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M            | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY        | stronghold          |
| 159 | traverse:autumnal_wooded_hills             | Autumnal Wooded Hills   |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                          | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                                    | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                             | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                 | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M               |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE              | stronghold          |
